  inode  jnode                  timau               result
      1  15213                    .63                   .63 
      2  21460                    .42                   .42 
      3  15551                    .54                   .54 
      4  15683                    .72                   .72 
      5  20875                    .48                   .48 
      6  15991                    .54                   .54 
      7  16024                    .75                   .75 
      8  15212                    .36                   .36 
      9  15416                    .39                   .39 
     10  15548                    .48                   .48 
     11  15697                     .3                    .3 
     12  20884                    .39                   .39 
     13  16001                    .27                   .27 
     14  21473                     .3                    .3 
     15  15395                    .12                   .12 
     16  21864                    .36                   .36 
     17  21862                    .39                   .39 
     18  20911                    .39                   .39 
     19  21855                    .42                   .42 
     20  15326                    .24                   .24 
     21  15425                    .33                   .33 
     22  15527                    .39                   .39 
     23  15650                    .33                   .33 
     24  15814                    .45                   .45 
     25  20917                    .39                   .39 
     26  15323                    .36                   .36 
     27  15423                    .36                   .36 
     28  15525                    .36                   .36 
     29  15648                    .36                   .36 
     30  15828                    .33                   .33 
     31  15985                   1.08                  1.08 
     32  15321                    .27                   .27 
     33  15439                     .3                    .3 
     34  15522                    .45                   .45 
     35  15645                    .39                   .39 
     36  15825                    .36                   .36 
     37  15318                    .33                   .33 
     38  15435                    .42                   .42 
     39  15566                    .42                   .42 
     40  15751                    .36                   .36 
     41  15914                    .36                   .36 
     42  15992                   1.02                  1.02 
     43  21082                    .45                   .45 
     44  15433                    .33                   .33 
     45  21953                    .27                   .27 
     46  15787                    .75                   .75 
     47  15911                    .36                   .36 
     48  14928                   1.14                  1.14 
     49  15201                   1.02                  1.02 
     50  15340                    .81                   .81 
     51  15575                   1.05                  1.05 
     52  16935                    .96                   .96 
     53  14955                    .72                   .72 
     54  15064                    1.2                   1.2 
     55  15352                     .3                    .3 
     56  15753                   1.02                  1.02 
     57  16923                    .54                   .54 
     58  15005                    .84                   .84 
     59  21456                   1.05                  1.05 
     60  15063                     .9                    .9 
     61  15208                    .81                   .81 
     62  15049                   1.05                  1.05 
     63  15145                    .72                   .72 
     64  15058                    1.2                   1.2 
     65  15229                    .87                   .87 
     66  14882                   1.62                  1.62 
     67  15070                    .96                   .96 
     68  15411                    .87                   .87 
     69  15803                    .84                   .84 
     70  15909                    .66                   .66 
     71  23556                    .84                   .84 
     72  23763                    .72                   .72 
     73  15069                   1.35                  1.35 
     74  15336                    .78                   .78 
     75  15616                    .72                   .72 
     76  15954                    .54                   .54 
     77  21955                   1.14                  1.14 
     78  14684                   1.11                  1.11 
     79  14772                    .69                   .69 
     80  14920                    .78                   .78 
     81  15113                    .78                   .78 
     82  15290                     .9                    .9 
     83  15458                     .6                    .6 
     84  14696                   1.29                  1.29 
     85  14846                   1.38                  1.38 
     86  14847                   1.02                  1.02 
     87  15119                    .84                   .84 
     88  15328                   1.05                  1.05 
     89  15569                    .78                   .78 
     90  14702                    1.5                   1.5 
     91  14852                   1.47                  1.47 
     92  14538                   1.23                  1.23 
     93  14701                   1.17                  1.17 
     94  14709                   1.17                  1.17 
     95  14856                    1.2                   1.2 
     96  14717                    .96                   .96 
     97  14871                    .75                   .75 
     98  23925                    .99                   .99 
     99  14802                    .93                   .93 
    100  23772                    .69                   .69 
    101  14875                    .81                   .81 
    102  14727                    .87                   .87 
    103  14874                     .9                    .9 
    104  14735                   1.29                  1.29 
    105  14880                   1.11                  1.11 
    106  14733                   1.23                  1.23 
    107  14793                    .69                   .69 
    108  14966                   1.29                  1.29 
    109  15247                    1.2                   1.2 
    110  15455                    .96                   .96 
    111  15605                    .81                   .81 
    112  15952                    .81                   .81 
    113  16053                    .81                   .81 
    114  14570                   1.05                  1.05 
    115  14878                     .6                    .6 
    116  15056                    .69                   .69 
    117  15156                    .87                   .87 
    118  15385                   1.08                  1.08 
    119  24240                    .81                   .81 
    120  15932                    .75                   .75 
    121  17884                   1.35                  1.35 
    122  11155                     .9                    .9 
    123  11555                    .75                   .75 
    124  11711                   1.71                  1.71 
    125  11647                    .51                   .51 
    126  11794                    .96                   .96 
    127  18072                   2.94                  2.94 
    128  12000                   1.02                  1.02 
    129  23418                   2.19                  2.19 
    130  16990                    .99                   .99 
    131  12625                    .84                   .84 
    132  12411                    .99                   .99 
    133  12165                   1.05                  1.05 
    134  12584                   1.26                  1.26 
    135  12588                   1.05                  1.05 
    136  12410                    1.2                   1.2 
    137  12277                   1.65                  1.65 
    138  12594                   1.32                  1.32 
    139  12298                   1.32                  1.32 
    140  12596                   1.53                  1.53 
    141  12963                   1.14                  1.14 
    142  17005                    .99                   .99 
    143  12943                   1.26                  1.26 
    144  12801                   1.59                  1.59 
    145  12868                    .96                   .96 
    146  12962                   1.41                  1.41 
    147  12780                    .75                   .75 
    148  12859                   1.26                  1.26 
    149  12957                   1.62                  1.62 
    150  12790                    .75                   .75 
    151  12809                   1.74                  1.74 
    152  12879                   1.53                  1.53 
    153  12878                    1.5                   1.5 
    154  12958                    .93                   .93 
    155  13202                   1.35                  1.35 
    156  17024                    .81                   .81 
    157  17022                    .99                   .99 
    158  13312                    .39                   .39 
    159  13372                    .81                   .81 
    160  13449                    .78                   .78 
    161  14475                   1.29                  1.29 
    162  14326                   1.38                  1.38 
    163  14703                    .78                   .78 
    164  14470                   1.38                  1.38 
    165  18200                    .72                   .72 
    166  14804                    .96                   .96 
    167  14474                   1.59                  1.59 
    168  14332                   1.38                  1.38 
    169  14187                   1.17                  1.17 
    170  14180                   1.41                  1.41 
    171  14748                   1.05                  1.05 
    172  14579                    1.2                   1.2 
    173  14485                   1.11                  1.11 
    174  17559                    .75                   .75 
    175  14782                   1.59                  1.59 
    176  17591                    .48                   .48 
    177  14774                   1.56                  1.56 
    178  14944                    1.2                   1.2 
    179  13055                   1.11                  1.11 
    180  17334                    .84                   .84 
    181  13207                   1.59                  1.59 
    182  13211                   1.11                  1.11 
    183  13330                   1.05                  1.05 
    184  13256                    .66                   .66 
    185  13331                    .78                   .78 
    186  13271                   1.17                  1.17 
    187  13610                   1.17                  1.17 
    188  13424                    .57                   .57 
    189  13466                    .72                   .72 
    190  13657                   1.17                  1.17 
    191  13915                    .99                   .99 
    192  13664                   1.05                  1.05 
    193  13665                   1.44                  1.44 
    194  13927                   1.11                  1.11 
    195  13905                   1.38                  1.38 
    196  14108                     .9                    .9 
    197  17531                   1.83                  1.83 
    198  14197                    1.2                   1.2 
    199  14224                   1.47                  1.47 
    200  14343                   1.35                  1.35 
    201  14342                   1.05                  1.05 
    202  14492                   1.38                  1.38 
    203  13120                   1.68                  1.68 
    204  13298                     .9                    .9 
